cleaned_comment,vaccine_view,about_doctor_mike,format_criticism,misinformation,emotion_personal_experience,sentiment,toxicity_level
didnt take long to figure out xd lol got it ignore but please mike continue,,neutral,,,,positive,non-toxic
also like as soon as mike starts talking everybody votes to end the conversation like tf is that about allow him to talk did you sign up to debate or sign up to complain to mike and not even give him a chance,,neutral,yes,,,neutral,mildly-toxic
unabomber mindset,,,,,,neutral,non-toxic
 block1 yeah on some things but it was offtopic,,,,,,neutral,non-toxic
disappointed  missed on picking debates on both sides of this one this is so elementary compared to other debates by jubilee,,,yes,,,negative,mildly-toxic
wooooowinsane,,,,,yes,neutral,mildly-toxic
3826 rfk publicly and under oath told the american public to not follow his advice for medical decisions,,,,,,neutral,non-toxic
2240 this woman made a huge deal about listening to all sides of a conversation when dealing with health issues then proceeded to entirely write off any sort of mainstream scientific viewpoint because they dont line up with her holistic medicine narrative she actually pissed me off ,,,,,yes,positive,mildly-toxic
the facts are we have increased the number of vaccines 10 fold over the past 6070 years and diseases and illnesses have increased 10 fold at the same time so are these vaccines really helping us or are they contributing or even creating it,skeptic,,,,,negative,mildly-toxic
is this guy a doctor because staring shut down while moons gray nonsense is not a very academic attitude is it,,,,,,negative,non-toxic
a skeptic is not more likely to be mislead hes more likely to investigate the guy talks about miss information and doesnt even have the other side of the information,,,yes,,,positive,mildly-toxic
1600 document athletes  they had issues more than doctors because graphene oxide pumping through the system messed them up others got lots this guy is a joke,,,yes,,,positive,mildly-toxic
one statement on papers and he is a threat lol what about face  and what if  this doctor never seen research on papers peppers this guy doesnt know the main doctors and research on the other side,,,,,,positive,non-toxic
poor dr flabbergasted by the question who is the author of misinformation lol,,,yes,,,positive,mildly-toxic
wow doctor mike is the hero we need and the hero we deserve,,neutral,,,,positive,non-toxic
doctor mike vs 20 darwin award nominees,,neutral,,,,neutral,non-toxic
unbelievable patience with these folks the beheaded lady was profoundly difficult to listen to,,,,,,strongly_negative,non-toxic
taking the way he listens and responds as something to strive for personally,,,,,,neutral,non-toxic
the doctors examples and arguments are pitiful  hes not addressing the two big elephants in the room  why are there no placebo controlled safety studies of vaccines and dont give me the crap that its unethical to not give a group the vaccine  we cant know safety without a control group and we use controls for life saving heart mens and everything else  also why are the manufacturers given legal immunity by the government  no one else has legal immunity  not big oil not big coal not teachers unions police no one  yet vaccine manufacturers cannot be sued,pro-vaccine,,,yes,,negative,highly-toxic
whats with the clock just changing times kinda at random like its at 208 smith and next scene its 944 and then a few seconds later its 407,,,,,,negative,non-toxic
they didnt find knowledgeable antivacxers for a reason  there are plenty of doctors that knew the dangers if vaccines put them on,skeptic,,,,,neutral,mildly-toxic
wow that lady is crazy the lady in the green dress oh wow,,,,,yes,negative,mildly-toxic
van costs lives brings the disease to the population van gives opportunity to develop and spread disease that has never been a threat,,,,,,neutral,non-toxic
the docs arguments are weak most of these people have incomparably better ones,,,,,,positive,non-toxic
ever heard of correlation vs causation the rise of internet has also been correlated with the prevalence of disease,,,,,,neutral,non-toxic
thats how a debate work literary is a part of the rules of a healthy debate there are laws and everything,,,yes,,,positive,mildly-toxic
 patoastral2118  1 against 20 is not a debate the format allows for a more fluid exchange like that of alex oconnor and the one with jordan peterson,,,yes,,,positive,mildly-toxic
being skeptical is definitely important  questioning information and investigating thoroughly is how we learn and grow but skepticism also means being open to credible evidence from all sides not just what fits a preconceived idea  doctor mike and many scientists actively review a wide range of research including dissenting views but they rely on data thats been rigorously tested and peerreviewer its not about ignoring other information but about distinguishing between credible evidence and misinformation  true skepticism involves critical thinking and evaluating the quality and source of information not just rejecting what challenges your beliefs without strong evidence its about being openminded but also discern,,negative,yes,,,positive,mildly-toxic
its easy to bring up big names like face or claim someone hasn seen all the research but science isnt about a few individuals or isolated papersize about the full body of evidence built over time by thousands of researchers worldwide doctors like doctor mike rely on this extensive peerreviewer research not just a few cherrypicked studies  if someone claims to know the main doctors and research on the other side its important to check whether that research is credible has been peerreviewer and stands up to scrutiny many called other side claims have been debunked or lack solid scientific backing  science advances by questioning and testing but that also means accepting the consensus when the evidence overwhelmingly supports it its not about ignoring other views but about weighing the quality and reliability of all information,,neutral,yes,,,positive,mildly-toxic
the last part is a question for a lawyer not a doctor,,,,,,neutral,non-toxic
 patoastral2118  i have asked lawyers  they say it allows for unchecked corruption plain and simple,,,,,,negative,non-toxic
arent a threat due to the vaccine,skeptic,,,,,negative,mildly-toxic
 patoastral2118  never a threat because they were from a different region species or lab,,,,,,neutral,non-toxic
i understand that it might seem like the doctors arguments are weak especially when emotions run high around this topic however the strength of an argument isnt just about how confidently its delivered or how persuasive it soundsits about the evidence behind it  doctors like him base their points on a vast amount of scientific research clinical trials and data collected over many years many of the counterarguments you hear from antivaccine groups often rely on personal stories misinformation or studies that have been debunked or taken out of context  its important to look beyond rhetoric and evaluate the credibility and quality of the evidence supporting each side thats how we get closer to the truth and make informed decisions,skeptic,,yes,,,positive,mildly-toxic
they dont have better arguments they just are more excited and show more energy,,,,,,positive,non-toxic
 patoastral2118  of course they are probably because they have better arguments ,,,,,,positive,non-toxic
people should not be taking health advice from me rfk,,,,,,neutral,non-toxic
typical from many commenters white dr being defended while very diverse group of people are called names,,,,,,positive,non-toxic
i think all of this is a result of social media and things people read online everyone is an expert now   i try to keep this thought in mind from an article i read about flying an airplane when youre flying in the dark or in a low visibility situation the only thing you can trust is your instrument panel your mind may be telling you something different but you have to learn how to put aside these thoughts and trust your instruments  were all flying in the dark through life essentially our only guide is that instrument panel which is science,,,,,,negative,non-toxic
wow this dude really got destroyed he had no words especially in the beginning questions this really highlighted the fact that vaccines arent without certain agendas attached and work differently for different people,pro-vaccine,,,,,positive,non-toxic
im a vaxxer but that dude at the 30 min mark was cooking  my take away  its possible to have two truths,skeptic,,,,,neutral,mildly-toxic
tom by far is the safest people out of this group,,,,,,positive,non-toxic
bro you cant sue a vaccine manufacturer they literally have protection from fault granted by the government,skeptic,,,,,neutral,mildly-toxic
rfk upheld the myth that black people dont feel pain like other people to that black brother please look at who youre defending,,,,,yes,negative,mildly-toxic
vaccines prevent getting an illness uh im pretty sure its the exact opposite at least in regards to flu and cold type vaccines,pro-vaccine,,,,,positive,non-toxic
the guest should be given time to articulate a comprehensive answer not cut them off due to the participant at the desk being voted out at least give 35 minutes please change the format otherwise brilliant program,,,yes,,,positive,mildly-toxic
these folks are something like wow  also spontaneous abortion you mean miscarriage,,,,,,positive,non-toxic
the brain was discovered in 1102  people before,,,,,,neutral,non-toxic
this format was crap its almost like the makers of this shitshow wanted to the appease the anthrax looks,,,yes,,,strongly_negative,mildly-toxic
doctor mike vs 20 of the most anecdotal tin foil anti vaxxers xx  with that said im not also for all vaccines either lol i also like that dr mike admitted that the big pharma is corrupt financially,skeptic,neutral,,,,positive,mildly-toxic
if every antivaxer checked their bias watched the first 5 minutes every single person who has any hope of correction would be corrected anyone who isnt convinced at that point is completely hopeless also yes if you deprive your children of the standard vaccines currently offered by the health care system you are a bad parent,skeptic,,yes,,,negative,mildly-toxic
this dr is bought and paid for by face,,,,,,neutral,non-toxic
so the dr thinks rfk is a threat because he doesnt understand science  my question is then does the dr agree with rachel levine and view him as a threat as well,,,,,,neutral,non-toxic
im really shocked at how little people read and who think anecdotes are worthy reasons for life decisions,,,,,,negative,non-toxic
2338 why was this dude so aggressive,,,,,,neutral,non-toxic
she reads and studies what,,,,,,neutral,non-toxic
debates dont work that way its a battle of facts and logic not who is the most energetic,,,yes,,,positive,mildly-toxic
instead of suing manufacturers directly individuals who believe theyre been injured by a vaccine can file a claim through the national vaccine injury compensation program vice this program provides compensation for rare vaccinerelated injuries and is funded by a small tax on vaccines if a claim through the vice is denied or the individual is unsatisfied with the compensation they still have the option to pursue a lawsuit against the vaccine manufacturer in civil court but only under very limited circumstances these cases are rare and typically require proving that the manufacturer was negligent or that the vaccine was defective in some way the system is designed to balance protecting vaccine manufacturers to encourage vaccine development while still offering a pathway for people to seek justice if they suffer harm however most vaccine injury claims are resolved through the vice which aims to provide faster and more accessible compensation than traditional lawsuits,skeptic,,yes,,,positive,mildly-toxic
thats a question for a lawyer or pharmacists not a doctor,,,,,,neutral,non-toxic
since these two arent supposed to be deadly is more beneficial to experience it than avoid it,,,,,,positive,non-toxic
how so  he didnt address the big concerns people have  why no placebo controlled safety studies  why vaccine manufacturers have legal immunity,pro-vaccine,,,yes,,positive,highly-toxic
people who still take those arguments seriously are beyond help,,,,,,strongly_negative,non-toxic
how so,,,,,,neutral,non-toxic
i understand why people might be suspicious of doctors and public health officials especially with so much misinformation out there however accusing someone of being bought and paid for without any evidence doesnt help the conversation  doctors like dr mike base their information on decades of scientific research and clinical experience not on personal agendas public health recommendations come from large bodies of independent scientists around the world not just one individual  its important to focus on the facts and evidence rather than unfounded accusations thats how we can have productive discussions about health and safety,,neutral,yes,,,positive,mildly-toxic
its important to separate personal opinions from evidencebased science when a doctor says someone doesnt understand science theyre usually referring to how that person interprets or presents scientific data not about their personal identity or beliefs  dr makes critiques of rfk jr focus on misinformation related to vaccines and public health based on scientific consensus comparing that to someone like rachel levine who is a public health official with medical and scientific credentials isnt really the same thing  the focus should be on the accuracy of information and how it aligns with scientific evidence rather than personal attacks or unrelated comparisons,skeptic,,yes,,,positive,mildly-toxic
so you believe that peppers cause aids this question seems to imply that since he doesnt prove of this figure being where it is then he proves of this other figure with is hilarious to think as a serious argument,,,,,,positive,non-toxic
if it wasnt for vaccines and modern medicine all these people would be considered middle aged or eol,skeptic,,,,,positive,mildly-toxic
fact checkout exactly impartial,,,,,,positive,non-toxic
the first woman was rude,,,,,,negative,non-toxic
imagine being a doctor and dealing with these people on a daily basis,,,,,,neutral,non-toxic
nothing screams vaccines work like mine only works when you take yours,pro-vaccine,,,,,neutral,non-toxic
damn doctor mike gained some weight,,neutral,,,,neutral,non-toxic
love you dr mike but i think a more efficient way to debate in this scenario would have been listening but not for too long you didnt get to make any points because you were voted out as soon as you started talking because the other person sampled on for 34 minutes,,neutral,yes,,,positive,mildly-toxic
that woman said she nursed her son til he was 7 ,,,,,,neutral,non-toxic
hope jackie doesnt have a child or plan on it,,,,,,neutral,non-toxic
is the land stolen from the first group that had it or the 100th,,,,,,positive,non-toxic
i think the flags should mean that the person has to stop arguing and the dr should have an opportunity to state his case otherwise a lot of people are just arguing at him,,,yes,,,strongly_negative,mildly-toxic
this is painful to watch,,,,,yes,strongly_negative,mildly-toxic
1254 i from europe and  wtf is happening in usa ,,,,,,strongly_negative,non-toxic
these people should not get vaccine its called natural selection,skeptic,,,,,positive,mildly-toxic
the sheer smugness of some of them trying to make a point and barely stinging together a coherent train of thought just astounding levels of confidencearrogancecondescension was this just a bitchnvent session as there was no actual debating from the 20 th,,,,,,positive,non-toxic
when he said guns hes citing a study that included 18 and 19 yr olds which in any other study would legally be considered adults,,,,,,positive,non-toxic
the zoom in on the confused lady face when the red head said chicken pox twice sent me,,,,,,strongly_negative,non-toxic
so many people are just deleted i just cant i feel like im a person who does look into things and doesnt take things at their word but people like some of these just scream cult behaviour,,,,,yes,positive,mildly-toxic
its so sad these people have been so mislead this conversation hurts me so bad,,,,,yes,strongly_negative,mildly-toxic
small pox doesnt live long outside of the body btw so the whole indigenous blanket arguement means nothing,,,,,,positive,non-toxic
think of vaccines like putting up a fence around your house to keep burglary out if only a few houses in the neighborhood have fences burglary can easily move from one unprotected house to another but if most houses have fences it becomes much harder for burglary to get in anywhere protecting the whole neighborhood  similarly when most people get fascinated it creates a kind of community shield that makes it harder for the virus to spread protecting everyoneeven those who cant put up their own fence,skeptic,,,,,positive,mildly-toxic
is having a normal bmi overweight now  how skinny r u lil bro,,,,,,positive,non-toxic
yes they have been mislead by corporate cartels fined billions for fraud corruption their scepticism is warranted,,,,,,neutral,non-toxic
these people believe the earth is flat 100,,,,,,negative,non-toxic
2126 this one is absolutely delusional  looks not sober as well  could be wrong about that but i have plenty of that in my family and many of them look and act just like her so im going with yeah not sober ,,,,,,positive,non-toxic
1128 dude said he agreed about preventing instead of curing but doesnt support vaccines  these people cannot be real ,pro-vaccine,,,,,positive,non-toxic
mra is not a vaccine,skeptic,,,,,neutral,mildly-toxic
ive been watching dr makes channel for years and hes changed his mind a lot about medicines infallibility,,,,,,neutral,non-toxic
one important aspect to mention about going back to nature we cant its impossible we have fundamentally changed the earth in a point of which is irreversible and created new variables not of nature which nature can not defend our new world requires more than just what the planet provided before and its our fault and we cant do anything about it the pollution we have caused will stay in this planet for millions of not billions years not just pollution but how we have also caused the rapid evolution and extinction of species creating super viruses and destroying ecosystems which will never go away,,,yes,,,positive,mildly-toxic
this is a shift representation on both sides,,,,,,neutral,non-toxic
they could have had atleast 1 scientist,,,,,,neutral,non-toxic
im 23mins in and this is difficult to watch so far the doctor is barely getting an opportunity to speak i hope going forward there is more debating with back and forth discourse between both speakers with the floor,,,,,,positive,non-toxic
vaccines work however they treat people like stats even if the number of people who died from the vaccine is low playing russian roulette with your kids lives with a forced vaccination is not worth it you could be that stat but hey millions are fine,pro-vaccine,,,,,negative,non-toxic
these debates have a critical failure  they let the person fish gallon through a italy of claims that the dr never gets a chance to address  thats crap  participants should be instructed and held to a single most importantsupported claim they wish to make then their mic silenced then the dr gets to address it  otherwise much of this is just a waste of time,,,yes,,,negative,mildly-toxic
the guy referring to guns as accidents is so strange,,,,,,negative,non-toxic
kudos to doctor mike for keeping a straight face,,neutral,,,,positive,non-toxic
wait 40 countries on welfare,,,,,,neutral,non-toxic
5245 i wonder why americans are unhealthy when they eat portions 10 times larger you guys drink soda in a day what i drink an year,,,,,,negative,non-toxic
nobody has talked about viruses and the exact mechanisms that vaccines are supposed to address nothing to do with anything beyond protection from viruses,skeptic,,,,,positive,mildly-toxic
349 if all 9 flags went up as she said im a big fan of your channel i would have  seed myself,,,yes,,,neutral,mildly-toxic
"i would rather have autism over smallpox any day of the week i would rather have autism than suffer the guilt of potentially being patient zero for an epidemic i would rather have autism than survive yet spread potentially incapable terrible diseases to my loved ones",,,,yes,,negative,highly-toxic
the whole autism thing is so ridiculous to be completely honest im autistic and i dont have any vaccines thats not how autism works,pro-vaccine,,,yes,,positive,highly-toxic
dope its doctor mike,,neutral,,,,neutral,non-toxic
actually mra vaccines are vaccines they work by teaching your cells how to make a harmless piece of the virus spike protein which then triggers your immune system to recognize and fight the real virus if youre exposed  this is just a new type of vaccine technology different from traditional ones that use weakened or inactivated viruses but the goal is the same to train your immune system to protect you from disease  so mra vaccines fit the definition of vaccinesthey help your body prepare to defend itself without causing illness,pro-vaccine,,yes,,,positive,mildly-toxic
10 times larger  and i dont drink soda  generalizations are insulting,,,,,,strongly_negative,non-toxic
 nadogrl what size burger you eat ,,,,,,neutral,non-toxic
your caregivers wouldnt,,,,,,neutral,non-toxic
 nadogrl  you mean they prefer to deal with smallpox then,,,,,,strongly_negative,non-toxic
 jillpapi  that would depend on the severity of the autism which has innumerable variations,,,,yes,,neutral,highly-toxic
sure you are,,,,,,positive,non-toxic
 nadogrl  um i am wtf,,,,,,strongly_negative,non-toxic
i feel like that jfk debate would gone much differently if this happened after he decided to take a dip ,,,yes,,yes,neutral,mildly-toxic
people have used the word brave to describe people in these scenarios the word id use for dr mike is noble as much as id love for those people to have better lives and not be misinformed i dont have the patience to talk to these people  when he asked the repaired lady is there anything i can say that can change your mind actually this should be a prerequisite for everyone sitting there falsifiability is such an important tenet of science i dont think you should be allowed to debate unless you understand that and can come up with evidence that would change your mind,,neutral,yes,,,positive,mildly-toxic
so i had never heard of doctor mike before this video but i think hes probably my favorite surrounded subject he feels less like a debate and more like a compassionate doctor who wants to help these people help themselves,,neutral,yes,,yes,positive,mildly-toxic
4209 this woman is insufferable,,,,,,neutral,non-toxic
i feel kind of badger doctor mike most of these people are drilling fools i do feel bad for some of them that actually fell victim to the misinformation but the others that arent open to talking about it are idiots,,positive,yes,,yes,negative,mildly-toxic
the red haired women being so wrong and everyone in the circle padding their heads agreeing with her is frying me ,,,,,,negative,non-toxic
i think this doctor is a saint i wouldnt have had the patience to deal with so much stupidity and ignorance great job,,,,,,positive,non-toxic
the law enforcement officer in this video reminds me of louis cks character on parks and rec,,,,,,neutral,non-toxic
you have insane patience dr mike ,,neutral,,,yes,strongly_negative,mildly-toxic
i hate the vote out system it just cuts off mike when hes making a point,,neutral,yes,,,strongly_negative,mildly-toxic
4057 i bet san got caught off guard and had to rush back to the field ,,,,,,neutral,non-toxic
2049 the japanese claim is incorrect japan has the highest rate of autism in the world think she looked at her data the wrong way around,,,,yes,,negative,highly-toxic
from 10037 to 10102 is just this guy being hilarious told hes wrong and i love,,,,,,positive,non-toxic
mike thinking well how delusional can people,,neutral,,,,neutral,non-toxic
no one wanted that chair,,,,,,neutral,non-toxic
people are stupid,,,,,,strongly_negative,non-toxic
they could picked people with better argumentative skills i can tell theyre just kind of rolling with it and its hard to follow their arguments  i think the first woman represents most actual antivaxxers though people who are just scared theyre afraid their child is going to have something bad happen to them because of a substance they dont understand its a very rational thing to fear the unknown i dont think we should ridicule these people really,skeptic,,,,,positive,mildly-toxic
anthrax is modern natural selection,,,,,,positive,non-toxic
theres many diseases and treatments that lower white cell count under 200,,,,,,positive,non-toxic
these comments are top tier lmaooo,,,,,,positive,non-toxic
its spelled stopped,,,,,,neutral,non-toxic
jr darwin awards,,,,,,neutral,non-toxic
lol  i cant with most of these people lol  how did he keep a straight face bro ,,,,,,positive,non-toxic
doctors mike provide prompt  its healthy to exercise  antivaxer you dont know what your talking about vaccines are bad,skeptic,neutral,,,,negative,mildly-toxic
its funny how they keep voting themselves out overtime the one on the chair comes to his senses and starts agreeing with the doc,,,,,,positive,non-toxic
lol at the fact checks coming up  these people are insane,,,,,yes,negative,mildly-toxic
uncontrolled pathogenic spike protein production is also a massive issue,,,,,,neutral,non-toxic
the massive problem was they mandated a first generation biotechnology in the face of natural immunity,,,,,,positive,non-toxic
i dont know what to think of dr mike after he said there is no such thing as absolute truth then said facts change based on when observed if he doesnt understand there is such a thing as absolute truth and facts never change otherwise it wouldnt be a fact see the earth was and is always round regardless if people think it is flat the problem is with science and medicine in most instances we dont have facts but rather beliefs based on what we can observe at the time to treat these beliefs as fact as dr mike seems to misunderstand basic principles of logic i dont see how he can be taken as an authority on issues when he is so confused,,negative,,,,positive,mildly-toxic
wow this isnt fair play at all   ive watched the first 20 minutes and this is the pattern an antivaxxer comes along and speaks for straight 23 minutes or more putting across their views regardless of what the topic of contention is simultaneously the red flags begin to pop but interesting at a speed that allows this speaker to complete their full thought  then as soon as the doctor begins to respond the red flags cross the 50 threshold and the antivaxxer is asked to go this means the antivaxxer has put across their points completely for the online viewers to consume but the doctor hasn   my suggestion to the channel dont register any new red flags when the person doctor in this case at the center speaks,skeptic,,yes,,,positive,mildly-toxic
religious notions are the worst,,,,,,strongly_negative,non-toxic
this is infuriating too many people conflated the racist history colonialism and medical experimentation with the proven track record of vaccines people need to visit 18th and 19th century cemeteries and see all the small headstone for babies  doctor mike was far too respectful and he never cut off his debates next time have an ultraaggressive new york doctor take the chair,skeptic,positive,yes,,,positive,mildly-toxic
lady we have been oppressed by the government does she know rfk jr is part of this govt,,,,,,neutral,non-toxic
poor guy,,,,,,strongly_negative,non-toxic
46 minutes in and i cant stand the lack of education  major credit to the health professional for being patient especially with the latina woman,,,,,,positive,non-toxic
lets stop getting vaccines confused with the experimental drug that was issued in 20212,skeptic,,,,,negative,mildly-toxic
i really hated how the christian girl got voted out i really wanted to hear more about it because im a christian and i wanted to see a religious view on this debate,,,yes,,,negative,mildly-toxic
gooooooaattttt,,,,,,neutral,non-toxic
this feels like 20 mental health patients vs a psychiatrist,,,,,yes,negative,mildly-toxic
nobody regrets not taking vaccines,skeptic,,,,,negative,mildly-toxic
i think this is one of the worst videos ive seen from this series never before in any of the episodes have i seen people stray so far from the claims of the person they are meant to be debating i mean seriously what was the point in dr mike even stating the claim when nearly every single vaccine skeptic openly ignored it and immediately started discussing something else jubilee is fortunate that mike held him self so well throughout this because the subversion of the claims he presented would drive other debates up the wall,skeptic,neutral,yes,,,negative,mildly-toxic
poor dude well groomed,,,,,,strongly_negative,non-toxic
havent met a religious person who isnt a nutjob at least at some level,,,,,,negative,non-toxic
 brian40  touché ,,,,,,neutral,non-toxic
passed the same clinical trials for approval,,,,,,neutral,non-toxic
 brian40 in what time period,,,,,,neutral,non-toxic
except the many documented cases of people who regretted it after they were dying for being anthrax,,,,,,positive,non-toxic
 masdouc  who lied to you,,,,,,neutral,non-toxic
 mjloverforever91 you should really be asking yourself that question,,,,,,positive,non-toxic
 masdouc im specifically referring to the c van so i know for sure nobody regrets not taking it however many regret taking it ,,,,,,positive,non-toxic
 mjloverforever91 i read so many comments of people retreating the c van,,,,,,positive,non-toxic
the guy at 9 minutes is too much,,,,,,positive,non-toxic
so you are telling me these are adults able to vote and recreate,,,yes,,,positive,mildly-toxic
hey dr mike   i just saw you on fox and friends   blessings  ps  i dont trust the govt,,neutral,,,,neutral,non-toxic
wait  what  when dr mike is giving the answer they get 9 flags up and he cannot finish his response how does that make sense so they are just giving him an argument and dont even allow him to finish his response,,neutral,yes,,,neutral,mildly-toxic
second girl went from vaccine to black lifes matter make it make sense,skeptic,,,,,negative,mildly-toxic
1 optimism vs 20 pessimistic,,,,,,neutral,non-toxic
doctor vs antivaxxers  people who need therapy but came on camera instead to vent ,skeptic,,,,,neutral,mildly-toxic
oh to have the confidence of an illiterate antivaxxer,skeptic,,,,,neutral,mildly-toxic
it is interesting to look at the guests that jubilee picked for this one all the other episodes usually have guests with degrees or are extremely well read about the topic they seem to have only picked emotional people who use anecdotes,,,,,,neutral,non-toxic
5 minutes in do any antivaxxers have anything to say thats not some dubious anecdotal story about a member of their family,skeptic,,,,,neutral,mildly-toxic
i am not antivaccinei am anti mra science applied to vaccine creations   there is a difference,skeptic,,,,,neutral,mildly-toxic
no one is talking about how respectful dr mike is he actually listened and stayed cool calm and collected and didnt raise his voice,,positive,,,,positive,non-toxic
you can see from the speed of the red flags going up that this is a group of people whose eyes glaze over from nuance surprisingly theyre all antivaxxers,skeptic,,yes,,,positive,mildly-toxic
as a person who is more than normally suspicious of vaxxinesi now know why people look at me the way they do when i tell them that,skeptic,,,,,positive,mildly-toxic
bro the red haired lady gotta b a public danger,,,,,,neutral,non-toxic
i dont if i should be watching until here  smh,,,,,,neutral,non-toxic
oh so me getting fascinated is what caused my autismadhd to get worse not the sexual base making it worse and adding pts huh sure makes sense totally not the trauma response huh ,,,,yes,,negative,highly-toxic
the saying a little knowledge is a dangerous thing means that a shallow understanding of a topic can lead to overconfidence and potentially harmful decisions someone with limited knowledge might mistakenly believe they have more expertise than they actually do leading to mistakes or bad advice,,,,,,negative,non-toxic
many of those people when they were not in front of mike didnt even let a minimum conversation unfold before anxious raising their hand to put forward their believes showing how they weren putting a minimum amount of effort to do the basic to listen,,negative,,,,positive,mildly-toxic
a plural of anecdotes is not data  all here are anecdotal stories in place of evidence,,,,,,neutral,non-toxic
yes,,,,,,neutral,non-toxic
idiocracy is here my friend the locos are leading the asylum,,,,,yes,neutral,mildly-toxic
you dont trust yourself people that lack any trust in any government are people that deep down know they themselves have the bad that they see in the government,,,,,,negative,non-toxic
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa im so scared,,,,,,neutral,non-toxic
one pharma employee 20 skeptics rightly questioning corporate products from cartels fined billions for fraud  corruption,,,,,,positive,non-toxic
mistergadomsky4577and yet you are in a pc which sells corporate products to you    vaccines were being researched across the world simultaneously by actual research labs and universities the best came to work on these to try to eradicate disease  this is not the same as olympic thats being touted as a messiah when it clearly has to be used your whole life rather than a combined approach with far cell removals post weight loss  furthermore if you hate cartels so much lay off that beer and drugs because majority of you are drinks,pro-vaccine,,,,,positive,non-toxic
1 normal human being vs 20 nutjobs,,,,,,positive,non-toxic
my brother in the nonexistent christthats what an antivaxxer is,skeptic,,,,,neutral,mildly-toxic
there was the guy with the ancient egyptian magic charm and his rant about medicine being colonialism but beyond that it seems not,,,,,,positive,non-toxic
people who raise their voice are insecure of their position,,,,,,strongly_negative,non-toxic
she believes every conspiracy theory that doesnt make sense ,,,,yes,,neutral,highly-toxic
as someone that has anecdotal experience  a lot of parents that have autistic kids that i know were having way too much partying fun in high school and university but do you think they disclosed this to their doctor   hey i took xyz elicit drugs they then out of not wanting to accept guilt or in some cases sheer luck if they had a healthy life want to claim everything else causes autism because we humans fear being responsible whether through genetics or our own behavior for autism which to these parents is seen as a defect a tara as we like to call it   some say its mercury others peanut in vaccines they keep inventing lol,anti-vaccine,,,yes,,positive,highly-toxic
remember as shift as american thinks how bad their healthcare are its still miles better than what people has in 3rd world countries  its like comparing a lamborghini with a beat down car,,,,,,negative,non-toxic
i should not have watched this i lost of respect for dr mike and now am subscribed,,neutral,,,yes,neutral,mildly-toxic
4140 url what,,,,,,neutral,non-toxic
as soon as you bring up joe organ and facebook as your information about healthcare youre automatically discredited in my perspective maybe you should read some books by renowned scientists,,,yes,,,neutral,mildly-toxic
this is find sad how did we get here,,,,,yes,strongly_negative,mildly-toxic
i love how dr mike is able to stay calm and give his educated response in a respectful way and acknowledge their frustrations but he ha shares his experience and education in a way that is clear and concise  even if they still dont agree with him in regards to how they feel about things,,positive,,,yes,positive,mildly-toxic
i wonder how doctor mike would be he had beliefs that were unpopular outside of health,,negative,,,,neutral,mildly-toxic
swear bro doctor mike is the definition of chill guy and literally cant have any enemies i checked the comments theres none bro ,,neutral,,,,neutral,non-toxic
nursing your child at 7 is mathit they really found the craziest of them to do this interview,,,,,,positive,non-toxic
this was a sham  get dr ana maria mihalcea on here and shell destroy this doctor mike dude,,neutral,,,,negative,non-toxic
this didnt feel like a debate this felt like trying to explain long division to a toddler who doesnt know addition,,,yes,,yes,negative,mildly-toxic
if he were to speak the truth about vaccines his license would be taken away,skeptic,,,,,neutral,mildly-toxic
you can never change an anti vaxxers mind they are a different breed altogether,skeptic,,,,,neutral,mildly-toxic
dr mike is indoctrinated and cant be trusted to know anything but what he was taught  there is a thing called the immune system,,negative,yes,,,neutral,mildly-toxic
why is leader always on this show are these idiots really that low in numbers that he needs to be brought back to this show multiple times to defend antiscience,,,,,,negative,non-toxic
if nothing else ignorance sure makes one confident,,,,,,positive,non-toxic
are there no schools in america,,,,,,neutral,non-toxic
lol  the hotel 2nd guy,,,,,,positive,non-toxic
i take issue with many of these perspectives if a government or group truly intended to reduce the population there are far more effective and discreet methods than mass highly visible vaccination campaigns using vaccines as a depopulation tool would be one of the least efficient and most easily scrutinized approaches imaginable,skeptic,,,,,positive,mildly-toxic
1 antivaxxer vs 20 doctors,skeptic,,,,,neutral,mildly-toxic
why,,,,,,neutral,non-toxic
its part of the republican playbook,,,,,,neutral,non-toxic
yes there are a number of experts in their field who would do so sasha latypova would be excellent too,,,,,,positive,non-toxic
the system of this show does not work well they dont vote out the bad questions of the antivaxxers they vote out the response of the doctor,pro-vaccine,,yes,,,strongly_negative,mildly-toxic
12223 the red hair lady is in delusion at this point because she is not ready to accept anything even if it is a fact,,,,,,negative,non-toxic
me being a medical student myself  was so shocked to see how much misinformation many people have and then telling dr mike how they have read this and that and in reality it was all they would have heard somewhere and  never bothered to fact check it or even know how a disease spreads and they come here and try to question him who had undergone so many years of med school and residency and knows the disease inside out is just appalling because throughout watching the video my expressions were just of shock ,,neutral,yes,,,positive,mildly-toxic
not impressed with rfk ,,,,,,strongly_negative,non-toxic
i think some of these things are valid but that one girl whos a conspiracy theorist made my eyes roll,,,,yes,,neutral,highly-toxic
so far everyone in this video just got up and proved his point with their arguments  ,,,,,,positive,non-toxic
