cleaned_comment,vaccine_view,about_doctor_mike,format_criticism,misinformation,emotion_personal_experience
1128 dude said he agreed about preventing instead of curing but doesnt support vaccines  these people cannot be real ,pro-vaccine,,,,
mra is not a vaccine,skeptic,,,,
ive been watching dr makes channel for years and hes changed his mind a lot about medicines infallibility,,,,,
one important aspect to mention about going back to nature we cant its impossible we have fundamentally changed the earth in a point of which is irreversible and created new variables not of nature which nature can not defend our new world requires more than just what the planet provided before and its our fault and we cant do anything about it the pollution we have caused will stay in this planet for millions of not billions years not just pollution but how we have also caused the rapid evolution and extinction of species creating super viruses and destroying ecosystems which will never go away,,,yes,,
this is a shift representation on both sides,,,,,
they could have had atleast 1 scientist,,,,,
im 23mins in and this is difficult to watch so far the doctor is barely getting an opportunity to speak i hope going forward there is more debating with back and forth discourse between both speakers with the floor,,,,,
vaccines work however they treat people like stats even if the number of people who died from the vaccine is low playing russian roulette with your kids lives with a forced vaccination is not worth it you could be that stat but hey millions are fine,pro-vaccine,,,,
these debates have a critical failure  they let the person fish gallon through a italy of claims that the dr never gets a chance to address  thats crap  participants should be instructed and held to a single most importantsupported claim they wish to make then their mic silenced then the dr gets to address it  otherwise much of this is just a waste of time,,,yes,,
the guy referring to guns as accidents is so strange,,,,,
kudos to doctor mike for keeping a straight face,,neutral,,,
wait 40 countries on welfare,,,,,
5245 i wonder why americans are unhealthy when they eat portions 10 times larger you guys drink soda in a day what i drink an year,,,,,
nobody has talked about viruses and the exact mechanisms that vaccines are supposed to address nothing to do with anything beyond protection from viruses,skeptic,,,,
349 if all 9 flags went up as she said im a big fan of your channel i would have  seed myself,,,yes,,
"i would rather have autism over smallpox any day of the week i would rather have autism than suffer the guilt of potentially being patient zero for an epidemic i would rather have autism than survive yet spread potentially incapable terrible diseases to my loved ones",,,,yes,
the whole autism thing is so ridiculous to be completely honest im autistic and i dont have any vaccines thats not how autism works,pro-vaccine,,,yes,
dope its doctor mike,,neutral,,,
actually mra vaccines are vaccines they work by teaching your cells how to make a harmless piece of the virus spike protein which then triggers your immune system to recognize and fight the real virus if youre exposed  this is just a new type of vaccine technology different from traditional ones that use weakened or inactivated viruses but the goal is the same to train your immune system to protect you from disease  so mra vaccines fit the definition of vaccinesthey help your body prepare to defend itself without causing illness,pro-vaccine,,yes,,
10 times larger  and i dont drink soda  generalizations are insulting,,,,,
 nadogrl what size burger you eat ,,,,,
your caregivers wouldnt,,,,,
 nadogrl  you mean they prefer to deal with smallpox then,,,,,
 jillpapi  that would depend on the severity of the autism which has innumerable variations,,,,yes,
sure you are,,,,,
 nadogrl  um i am wtf,,,,,
i feel like that jfk debate would gone much differently if this happened after he decided to take a dip ,,,yes,,yes
people have used the word brave to describe people in these scenarios the word id use for dr mike is noble as much as id love for those people to have better lives and not be misinformed i dont have the patience to talk to these people  when he asked the repaired lady is there anything i can say that can change your mind actually this should be a prerequisite for everyone sitting there falsifiability is such an important tenet of science i dont think you should be allowed to debate unless you understand that and can come up with evidence that would change your mind,,neutral,yes,,
so i had never heard of doctor mike before this video but i think hes probably my favorite surrounded subject he feels less like a debate and more like a compassionate doctor who wants to help these people help themselves,,neutral,yes,,yes
4209 this woman is insufferable,,,,,
i feel kind of badger doctor mike most of these people are drilling fools i do feel bad for some of them that actually fell victim to the misinformation but the others that arent open to talking about it are idiots,,positive,yes,,yes
the red haired women being so wrong and everyone in the circle padding their heads agreeing with her is frying me ,,,,,
i think this doctor is a saint i wouldnt have had the patience to deal with so much stupidity and ignorance great job,,,,,
the law enforcement officer in this video reminds me of louis cks character on parks and rec,,,,,
you have insane patience dr mike ,,neutral,,,yes
i hate the vote out system it just cuts off mike when hes making a point,,neutral,yes,,
4057 i bet san got caught off guard and had to rush back to the field ,,,,,
2049 the japanese claim is incorrect japan has the highest rate of autism in the world think she looked at her data the wrong way around,,,,yes,
from 10037 to 10102 is just this guy being hilarious told hes wrong and i love,,,,,
mike thinking well how delusional can people,,neutral,,,
no one wanted that chair,,,,,
people are stupid,,,,,
they could picked people with better argumentative skills i can tell theyre just kind of rolling with it and its hard to follow their arguments  i think the first woman represents most actual antivaxxers though people who are just scared theyre afraid their child is going to have something bad happen to them because of a substance they dont understand its a very rational thing to fear the unknown i dont think we should ridicule these people really,skeptic,,,,
anthrax is modern natural selection,,,,,
theres many diseases and treatments that lower white cell count under 200,,,,,
these comments are top tier lmaooo,,,,,
its spelled stopped,,,,,
jr darwin awards,,,,,
lol  i cant with most of these people lol  how did he keep a straight face bro ,,,,,
doctors mike provide prompt  its healthy to exercise  antivaxer you dont know what your talking about vaccines are bad,skeptic,neutral,,,
its funny how they keep voting themselves out overtime the one on the chair comes to his senses and starts agreeing with the doc,,,,,
lol at the fact checks coming up  these people are insane,,,,,yes
uncontrolled pathogenic spike protein production is also a massive issue,,,,,
the massive problem was they mandated a first generation biotechnology in the face of natural immunity,,,,,
i dont know what to think of dr mike after he said there is no such thing as absolute truth then said facts change based on when observed if he doesnt understand there is such a thing as absolute truth and facts never change otherwise it wouldnt be a fact see the earth was and is always round regardless if people think it is flat the problem is with science and medicine in most instances we dont have facts but rather beliefs based on what we can observe at the time to treat these beliefs as fact as dr mike seems to misunderstand basic principles of logic i dont see how he can be taken as an authority on issues when he is so confused,,negative,,,
wow this isnt fair play at all   ive watched the first 20 minutes and this is the pattern an antivaxxer comes along and speaks for straight 23 minutes or more putting across their views regardless of what the topic of contention is simultaneously the red flags begin to pop but interesting at a speed that allows this speaker to complete their full thought  then as soon as the doctor begins to respond the red flags cross the 50 threshold and the antivaxxer is asked to go this means the antivaxxer has put across their points completely for the online viewers to consume but the doctor hasn   my suggestion to the channel dont register any new red flags when the person doctor in this case at the center speaks,skeptic,,yes,,
religious notions are the worst,,,,,
this is infuriating too many people conflated the racist history colonialism and medical experimentation with the proven track record of vaccines people need to visit 18th and 19th century cemeteries and see all the small headstone for babies  doctor mike was far too respectful and he never cut off his debates next time have an ultraaggressive new york doctor take the chair,skeptic,positive,yes,,
lady we have been oppressed by the government does she know rfk jr is part of this govt,,,,,
poor guy,,,,,
46 minutes in and i cant stand the lack of education  major credit to the health professional for being patient especially with the latina woman,,,,,
lets stop getting vaccines confused with the experimental drug that was issued in 20212,skeptic,,,,
i really hated how the christian girl got voted out i really wanted to hear more about it because im a christian and i wanted to see a religious view on this debate,,,yes,,
gooooooaattttt,,,,,
this feels like 20 mental health patients vs a psychiatrist,,,,,yes
nobody regrets not taking vaccines,skeptic,,,,
i think this is one of the worst videos ive seen from this series never before in any of the episodes have i seen people stray so far from the claims of the person they are meant to be debating i mean seriously what was the point in dr mike even stating the claim when nearly every single vaccine skeptic openly ignored it and immediately started discussing something else jubilee is fortunate that mike held him self so well throughout this because the subversion of the claims he presented would drive other debates up the wall,skeptic,neutral,yes,,
poor dude well groomed,,,,,
havent met a religious person who isnt a nutjob at least at some level,,,,,
 brian40  touché ,,,,,
passed the same clinical trials for approval,,,,,
 brian40 in what time period,,,,,
except the many documented cases of people who regretted it after they were dying for being anthrax,,,,,
 masdouc  who lied to you,,,,,
 mjloverforever91 you should really be asking yourself that question,,,,,
 masdouc im specifically referring to the c van so i know for sure nobody regrets not taking it however many regret taking it ,,,,,
 mjloverforever91 i read so many comments of people retreating the c van,,,,,
the guy at 9 minutes is too much,,,,,
so you are telling me these are adults able to vote and recreate,,,yes,,
hey dr mike   i just saw you on fox and friends   blessings  ps  i dont trust the govt,,neutral,,,
wait  what  when dr mike is giving the answer they get 9 flags up and he cannot finish his response how does that make sense so they are just giving him an argument and dont even allow him to finish his response,,neutral,yes,,
second girl went from vaccine to black lifes matter make it make sense,skeptic,,,,
1 optimism vs 20 pessimistic,,,,,
doctor vs antivaxxers  people who need therapy but came on camera instead to vent ,skeptic,,,,
oh to have the confidence of an illiterate antivaxxer,skeptic,,,,
it is interesting to look at the guests that jubilee picked for this one all the other episodes usually have guests with degrees or are extremely well read about the topic they seem to have only picked emotional people who use anecdotes,,,,,
5 minutes in do any antivaxxers have anything to say thats not some dubious anecdotal story about a member of their family,skeptic,,,,
i am not antivaccinei am anti mra science applied to vaccine creations   there is a difference,skeptic,,,,
no one is talking about how respectful dr mike is he actually listened and stayed cool calm and collected and didnt raise his voice,,positive,,,
you can see from the speed of the red flags going up that this is a group of people whose eyes glaze over from nuance surprisingly theyre all antivaxxers,skeptic,,yes,,
as a person who is more than normally suspicious of vaxxinesi now know why people look at me the way they do when i tell them that,skeptic,,,,
bro the red haired lady gotta b a public danger,,,,,
i dont if i should be watching until here  smh,,,,,
oh so me getting fascinated is what caused my autismadhd to get worse not the sexual base making it worse and adding pts huh sure makes sense totally not the trauma response huh ,,,,yes,
the saying a little knowledge is a dangerous thing means that a shallow understanding of a topic can lead to overconfidence and potentially harmful decisions someone with limited knowledge might mistakenly believe they have more expertise than they actually do leading to mistakes or bad advice,,,,,
many of those people when they were not in front of mike didnt even let a minimum conversation unfold before anxious raising their hand to put forward their believes showing how they weren putting a minimum amount of effort to do the basic to listen,,negative,,,
a plural of anecdotes is not data  all here are anecdotal stories in place of evidence,,,,,
yes,,,,,
idiocracy is here my friend the locos are leading the asylum,,,,,yes
you dont trust yourself people that lack any trust in any government are people that deep down know they themselves have the bad that they see in the government,,,,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa im so scared,,,,,
one pharma employee 20 skeptics rightly questioning corporate products from cartels fined billions for fraud  corruption,,,,,
mistergadomsky4577and yet you are in a pc which sells corporate products to you    vaccines were being researched across the world simultaneously by actual research labs and universities the best came to work on these to try to eradicate disease  this is not the same as olympic thats being touted as a messiah when it clearly has to be used your whole life rather than a combined approach with far cell removals post weight loss  furthermore if you hate cartels so much lay off that beer and drugs because majority of you are drinks,pro-vaccine,,,,
1 normal human being vs 20 nutjobs,,,,,
my brother in the nonexistent christthats what an antivaxxer is,skeptic,,,,
there was the guy with the ancient egyptian magic charm and his rant about medicine being colonialism but beyond that it seems not,,,,,
people who raise their voice are insecure of their position,,,,,
she believes every conspiracy theory that doesnt make sense ,,,,yes,
as someone that has anecdotal experience  a lot of parents that have autistic kids that i know were having way too much partying fun in high school and university but do you think they disclosed this to their doctor   hey i took xyz elicit drugs they then out of not wanting to accept guilt or in some cases sheer luck if they had a healthy life want to claim everything else causes autism because we humans fear being responsible whether through genetics or our own behavior for autism which to these parents is seen as a defect a tara as we like to call it   some say its mercury others peanut in vaccines they keep inventing lol,anti-vaccine,,,yes,
remember as shift as american thinks how bad their healthcare are its still miles better than what people has in 3rd world countries  its like comparing a lamborghini with a beat down car,,,,,
i should not have watched this i lost of respect for dr mike and now am subscribed,,neutral,,,yes
4140 url what,,,,,
as soon as you bring up joe organ and facebook as your information about healthcare youre automatically discredited in my perspective maybe you should read some books by renowned scientists,,,yes,,
this is find sad how did we get here,,,,,yes
i love how dr mike is able to stay calm and give his educated response in a respectful way and acknowledge their frustrations but he ha shares his experience and education in a way that is clear and concise  even if they still dont agree with him in regards to how they feel about things,,positive,,,yes
i wonder how doctor mike would be he had beliefs that were unpopular outside of health,,negative,,,
swear bro doctor mike is the definition of chill guy and literally cant have any enemies i checked the comments theres none bro ,,neutral,,,
nursing your child at 7 is mathit they really found the craziest of them to do this interview,,,,,
this was a sham  get dr ana maria mihalcea on here and shell destroy this doctor mike dude,,neutral,,,
this didnt feel like a debate this felt like trying to explain long division to a toddler who doesnt know addition,,,yes,,yes
if he were to speak the truth about vaccines his license would be taken away,skeptic,,,,
you can never change an anti vaxxers mind they are a different breed altogether,skeptic,,,,
dr mike is indoctrinated and cant be trusted to know anything but what he was taught  there is a thing called the immune system,,negative,yes,,
why is leader always on this show are these idiots really that low in numbers that he needs to be brought back to this show multiple times to defend antiscience,,,,,
if nothing else ignorance sure makes one confident,,,,,
are there no schools in america,,,,,
lol  the hotel 2nd guy,,,,,
i take issue with many of these perspectives if a government or group truly intended to reduce the population there are far more effective and discreet methods than mass highly visible vaccination campaigns using vaccines as a depopulation tool would be one of the least efficient and most easily scrutinized approaches imaginable,skeptic,,,,
1 antivaxxer vs 20 doctors,skeptic,,,,
why,,,,,
its part of the republican playbook,,,,,
yes there are a number of experts in their field who would do so sasha latypova would be excellent too,,,,,
the system of this show does not work well they dont vote out the bad questions of the antivaxxers they vote out the response of the doctor,pro-vaccine,,yes,,
12223 the red hair lady is in delusion at this point because she is not ready to accept anything even if it is a fact,,,,,
me being a medical student myself  was so shocked to see how much misinformation many people have and then telling dr mike how they have read this and that and in reality it was all they would have heard somewhere and  never bothered to fact check it or even know how a disease spreads and they come here and try to question him who had undergone so many years of med school and residency and knows the disease inside out is just appalling because throughout watching the video my expressions were just of shock ,,neutral,yes,,
not impressed with rfk ,,,,,
i think some of these things are valid but that one girl whos a conspiracy theorist made my eyes roll,,,,yes,
so far everyone in this video just got up and proved his point with their arguments  ,,,,,
1347 so far no one has given dr mike chance to even talk nor have any of them even tried to prove against his claim they havent asked what lies dr mike is referring to 2048 a lot of did you know a lot of people that didnt learn things when they were younger all the sudden wanting to learn stuff and think they are in some kind of special in the know underground people 2340 again they switch once dr mike starts talking,,positive,,,
it seems like they all start to vote for a new speaker as soon as hes given a chance to respond,,,yes,,
an hour in and so far it seems like its more 6 out of 20 available antivaxxers against one doctor lol,skeptic,,,,
i wish that they could be fact checked in real time,,,,,
i saw a guy hiking in the mountains alone wearing a mask   that is the fault of our fear wondering greedy medical system making billions out of fearful sheep psychological warfare at its best,,,yes,,
that woman said what do they need protection against in the first couple hours of life like are you aware of what happens in a hospital,,,,,
was she forced or not cause dr mike asked if she was forced and she said no about a minute later she said she was forced to get the vaccine,skeptic,neutral,,,
this guy is should have been the one in facts position not face,,,,,
that lady with the rhead was the most unsigned of the group like wtf was the point of her being there when she fully admitted that what ever drive said wouldnt really change her mind,,,,,
wow its a choice get the vaccine or lose your job mention everything yeah sounds like a choice ,skeptic,,,,
representing nj when this doctor doesnt have an answer he says its a just  a coincidence ,,,,,
im sorry im new here can someone explain the point of having ref flags and why they use them as a vote method,,,yes,,yes
as soon as we are born they give us the hep b shot so how do we know thats not what caused the seizures,,,,,
yes the guy talking about natural healing and the rockefellers  yes,,,,,
yeah they really should pause the conversation and fact check verbally,,,,,
we should have the choice period,,,,,
i love how the guy with the funny jacket got hockey mocked in the closing remarks lol,,,,,
i encourage these people to move to places in the world that weren as fortunate as them to even be able to get fascinated regardless of whether they believed they were effective or not  maybe they should trade places with people who want to live a better and healthier life but are unable to solely because of the place they were born,,,,,
girl with red hair cannot be serious,,,,,
the second girl in blue  why did they boot her so fast ,,,,,
dr mike looking a little chubbier than he used to,,neutral,,,
telling a doctor a study done in a foreign and healthier country isnt true without looking up the research is insane lady in the denim jacket already has her mind set is not openminded and will not accept other data then what she wants to believe,,,,,yes
these debuts dont understand the difference between asking a question and making an impassioned uninformed speech,,,,,
he is basically teaching basic science to these people lol,,,,,
the reason why those people are so off is cause they havent learn to be open to ideas so now when one of them tries to speak the others dont even give them a chance  basically they are getting a taste of their own medicine problem is i still dont think they ll even realize any of this,,,,,
there are medical doctors out there who became antivaxxers discussions between them and doc mike would be interesting and we could truly learn something why not be fair,skeptic,neutral,,,
the first girl set the tone for how low  intelligent this was going to be,,,,,
du kan ikke ænde dumped i diss mennesker,,,,,
all this video has proved to me is what i already thought non vaxxers have low iq,skeptic,,,,
omg the third guy was soooooo fringe he was all over the place trying to quickly get in so many different points when in all reality he just wanted to start a racecolonialism debate treating each other better having clean food having media that doesnt lie we all want that for ourselves and our kids but that has nothing to do with the debate at hand which is should we be giving people vaccines or not how hard is it for some of these people to just think rationally and leave their emotions out of it and stay on topic,skeptic,,yes,,
the first lady sounds like she made up all the i have a friend i have another friend stories she might have been telling the truth but the tone and the way she speaks makes her sound like those kids in school that used to make up stories on the spot,,,,,
the government is never wrong or make mistakes even when they do they dont,,,,,
doctor mike is supporting science and biology and these other people are talking about politics those are 2 different worlds and politics does tend to override science but that does not make the science claims false,,neutral,,,
how many millions of people have died from the measles vaccine in canada the measles virus was eradicated in 1998 i was born 1984 but as an adult i developed egg allergies and because of that flu vaccines have gone off the table,pro-vaccine,,,,
its easier to fool people than to convince them that they have been fooled,,,,,
the wealthiest communities in the world are the least fascinated ones,,,,,
which communitiesmistergadomsky4577,,,,,
mma remember that,,,,,
these people are insufferable,,,,,
ive always just thought that anti papers were just scared of needles,,,,,
bro overtime mike got the chance to respond to a claim everyone raised their hands,,neutral,,,
i get what you are trying to do i appreciate that this needs to be inclusive but trying to argue with someone that doesnt believe 11  2 is very difficult you do not have the same languageframe of defence but working towards removing the division is absolutely pivotal,,,,,
doctor mike is a part of the depopulation cult and he doesnt even know it,,neutral,,,
i have a hard time believing that big pharma cares about our safety more than profits  i was in a car wreck in 2001 and to this day in a drawer in my living room i kept the pamphlet my dr gave me explaining that oxycontin is not addictive,,,,,
dr mike is jewish,,neutral,,,
why not bring 20 doctor anti vaxxer  vs doctor mike,skeptic,neutral,,,
its always i know one person who lol,,,,,
my youngest three children arent fascinated they are completely fine yes because everyone else is,,,,,
props to dr mike for having the nerve to deal with so many selfcentred people at once,,neutral,,,
this is the most vote outs ive seen wtf,,,yes,,
trying to tell a doctor how aids is actually contracted and immediately getting fact checked on screen is an all timer im afraid lmaz,,,,,
i want to see doctor mike in another video with people who arent completely selfcentered cause this passes me off,,neutral,,,
the 1st woman is mental,,,,,
1712,,,,,
this doctor is so damn intelligent and eloquent got a fan,,,,,
i feel like jubilee didnt give doctor mike and the anti papers enough time to talk per person like i feel like a lot of there conversations were cut short,,neutral,,,yes
their feeling arguments hurt my brain,,,,,yes
the red hair lady was drowning in factchecks  most of these ppl are simply nuts,,,,,
if there is a big pharma trying to profit off our illness why would they also be trying to depopulated the world causing a loss in profit,,,,,
i actually read and study  to a doctor is crazzyyyyyyyy bro,,,,,
yes and theyre super loud and force their opinions on others,,,,,
the first mom knows you talk to enough ppl and you put the pieces together,,,,,
they dont even let him address their questions without the group voting to change the debate,,,yes,,
dr mike  paid to support vaccines and big pharma bottom line  timing is interesting in light of the newtoyoutube videos showing from mds the mra technology can cause myocarditis in young males and other groups,skeptic,neutral,,,
im a nurse and i would love to follow this whole debate but i couldnt i can not finish this discussion through this format i applaud dr mike for being to patient most of the arguments from the participants are just not objective enough to take serious,,positive,yes,,
i wish dr mike had the chance to make his point before the person across from him was voted off,,neutral,yes,,
the pediatric nurse got voted way too quickly the discussion actually was quite interesting,,,yes,,
4201 im confused why he said that because he too is not letting her argument influence him although he does try to make it seem like that by saying that he understands but he always comes back to his claims as if he he heard nothing   edit but she is also a little bias,,,,,
dude at 840 was going on a schism rant,,,,,
get rid of the red flags and have only the timer they do nothing but consistently interrupt conversation,,,yes,,
not a single scientific reasoning behind why vaccines are non dangerous and how vaccines actually work wow,pro-vaccine,,,,
how can dr mike with a straight face say that unvaccinated kids would put fascinated kids are risk that statement is so illogical surely it is the unvaccinated kid that is at risk not the kids who have had the vaccine otherwise it kind of just goes against his entire argument that vaccines prevent disease either vaccines work by protecting the fascinated and it then follows that they are at lower risk than unvaccinated kids or the fascinated kids are at more of a risk than the unvaccinated which is it,pro-vaccine,positive,,,
i dont know how dr mike can call the cdc independent review bodies when he probably knows there is a revolving door between the pharma companies and the cdc and when it is the pharma companies that pay the cdc for their independent reviews as well as lobbying government for fewer regulations in essence the pharma companies regulate themselves and review their own drugs to market this is exactly how they have been able to lack transparency and hide data that shows their drugs to be far more harmful than is ever let on just look at how the tackle family were able to manipulate the cdc to label oxycontin as less addictive than other opioids even when they were more than 4 times more addictive this is precisely because of the revolving door between the cdc and big pharma this is exactly what rfk jnr is bringing to an end and it is not before time,,neutral,,,
the entirety of this room is just an echo chamber passive aggressive and just nods to everything being said only one or two of them actually had a meaningful argument and were well spoken its so difficult to have a discourse with people like them and i feel bad for dr mike for sitting there with them trying to provide his professional perspective yet the people are just listening to what they want to hear,,neutral,,,yes
classic survivorship bias if it didnt happen to me then it cant happen classic logical fallacy,,,,,
most of them didnt even debate against dr makes quotes they just started ranting about their own experiences with vaccines if my teacher said anti vaccine lies cost lives they would expect me to argument why they arent lies and why it doesnt cost lives not say well my friend had a stroke after taking a vaccine so i feel threatened of course they have valid reasons to distrust vaccines but they need to keep the topic consistent,skeptic,,yes,,yes
i bet i can guess who they voted for,,,yes,,
so dr mike gives you a real comparison and you leave voodoo come back   also i wonder if theres antivaxxers that are provide bc how,skeptic,neutral,,,
prove it that the  saved over 100 million lives   what a clown this doctor is,,,,,
there is no such thing as a safe    end of story,,,,,
doctor what led to your mistrust    what a clown,,,,,
brush even when it comes to young males the affected demographic were talking about 25 cases at most per million doses and the symptoms are generally mild in comparison the risk of developing myocarditis from the sickness itself would be 26 times higher without the vaccine so even when we highlight this particular effect its a weak argument,skeptic,,,,
what youre seeing is people leading with emotion rather than medicine  i applaud the doctor for being so patient as well,,,,,
stop spamming comments pure mapping,,,,,
job application jumpscare,,,,,
masks dont work thats been proven over and over   face is a virus,,,,,
seatbelt argument was deflection  not even comparable to something you cannot get out of your body once its in,,,,,
i love dr mike for doing this but i hate this video,,neutral,,,
the one who sat down about 19 minutes into this video seems to be the most on target ,,,,,
no way some guy said people arent talking about getting the fluoride out of the water when there wasnt fluoride so many people had terrible teeth and it actually helps to have fluoride,,,,,
i worked in a funeral home during the pandemic and didnt take the vaccine and i know people that took it and the families told us that their loved one was just fine until they took the vaccine so ill take my chances ,pro-vaccine,,,,
this doctor isnt the reason all hate your lives guys why so rude,,,,,
parents who dont want to vaccine have to take their children home and be quarantined when theres an outbreak for some states not all  that should be the case for all states im all for children not having the shots but the sickness shouldnt spread because of that,skeptic,,,,
i actually read and study  that has the same feeling of telling gordon ramsay you can cook a delicious frozen burger on your stove,,,,,yes
why would they vote out all the interesting conversations,,,yes,,
is it illegal to think in the usa,,,,,
we should start making conspiracy theories that are actually just the truth and maybe people will catch on,,,,yes,
i fully believe in full consent vaccines can cause problems including death so the decision to vaccine or not vaccine is not a decision to be made lightly   my friend lost her baby to the mm it was horrific  they labeled the death side even though her baby never made it home from the doctor appointment,anti-vaccine,,,,yes
heres a doctor i would never see ,,,,,
this channels fact checkers are wrong most of the time,,,,,
strawman,,,,,
13016 i am afraid for this woman baby,,,,,
one way we could do that is connecting more with nature where are you finding these idiots oh yeah america,,,,,
follow the money always has nobody ever seen the fugitive,,,,,
likes we have to share the planet with these idiots  ff,,,,,
proof give an example,,,,,
they literally are not you psychopath,,,,,
i love the people who act like theyre gonna run up to the chair but its obvious they have no intention of making it there ,,,,,
bunch of willfully ignorant people,,,,,
i cant stand ignorant idiots,,,,,
what are the flags for,,,yes,,
guy with the funny jacket and the red hair were crackpotesque,,,,,
something i hate about this format is that its so obvious the people just begin to vote the person off as soon as the doc begins giving his rebuttal,,,yes,,
20 antivaxxers project on a doctor,skeptic,,,,
all of them have crazy eyes,,,,,yes
i think i died 20 times when that red hair woman said hiv doesnt cause aids lets have her get hiv and come back to this show,,,,yes,
dr mike please fix your posture,,neutral,,,
i think when the speakers are voted out and 9 flags are raised instead of instantly stopping them from talking they should be given 1 more minute to speak so that any remaining points can be properly touched on and not interrupted a time limit will give the voters what they want while also giving the speakers a final chance to combat with their argument,,,yes,,
let the doctor speak this is so frustrating to watch fr,,,,,
pack of lies trying to increase the profit of big pharma number conscience despicable,,,,,
the dude who tagged that building must be super proud thats gotta be the worlds lowest graffiti no  lmaz,,,,,
this video is a masterclass in convincing sympathetic listening and addressing people who are less smart and more misinformed hats off to dr mike for holding his ground without making the other side feel lost i believe the people here except the former sheriff who had reasonable points and was amenable had very limited scope of understanding  the reasons behind it would be interesting to know and dr mike showed the best way to deal the situation,,negative,,,yes
some of these people are downright crazy xd,,,,,yes
this whole channel is rotten,,,,,
i admire you doctorbut hepatitis b is not spread through utensils give hep vaccine to  newborn assuming that the mother is unknowingly infected with it and once the cord is cut the newborn will be vulnerable to the virus given the fact that its antibodies supply from the mother was cut off give series of shots to boost its natural immunity against itcharooot,skeptic,,,,
mike,,neutral,,,
this one was a tough watch need to change the format the voting system doesnt give the discussion time to breathe,,,yes,,
i know so many of them rolled up their sleeves for an experimental unlicensed and unapproved shot provided by cartels fined billions for fraud and corruption,,,,,
when enough people raise the flags the current person debating with dr mike gets voted out,,neutral,yes,,
gotha thanks  verbalish ,,,,,
absolutely true as any real evidence is deleted as they dont want to know about another doctors input,,,,,
less smart and more misinformed wow watching your kid fall with a seizure after taking a certain vaccine  and then expressing their experiences makes them less smart,skeptic,,,,
you give shots to boost natural immunity what a load of total disingenuous nonsense to claim that natural immunity is boosted natural immunity is totally compromised by the shots never da never mr a case study of serious autoimmune adverse events following hepatitis b immunization autoimmunity 2005 june 384 295301 reported to vers,,,,,
mistergadomsky4577 tell me you dont understand the human body without telling me,,,,,
 jen1  try asking a question that makes sense without telling me,,,,,
mistergadomsky4577 no youre a waste of time because you have an agenda,,,,,
 jen1  you are a waste of space because you have an agenda,,,,,
4110 weather manipulation weapons is actually an insane take wow,,,,,yes
america lady  we want our freedom of speech back on the internet freedom of speech is law  rest of the world  the internet exists in other countries with different lawsvalues,,,,,
this is painful,,,,,yes
also someone explain to the guy in blue sweater that appealing to experts does not make one an expert especially when it comes to health issues that they do not have any certification for,,,,,
i hope the red haired woman children can escape their mothers thought patterns,,,,,
never once before in history has vaccine immunity been considered better than naturallyinduced immunity from catching an actual disease and pharma actually sponsors and funds medical school as well as medical textbook publication so all the information doctors learn is from pharma pharma knows that they can give vaccines to everybody because they have been made immune from any liability this also means they have absolutely 0 incentive to actually do the proper research they need to do to make vaccination safe,pro-vaccine,,yes,,
sorry dr mike but in this case you are a moon who has not done their actual research none of these vaccines have been properly tested as any other drug or pharmaceutical product not once let alone in the massive combinations they are given in there is so many reasons he is wrong and he obviously has never had a mother who has said something about their child having a major vaccine reaction he has probably said that it is a coincidence these mothers and others here that are vaccinehesitant or anthrax they know what theyre talking about they know the history they know their children and they know what theyre seen,skeptic,neutral,,,yes
the amount of fact checks while antivaxxers are speaking is crazy,skeptic,,,,yes
lack of first principles reasoning and logical fallacies are the real pandemic i am not voicing an opinion on the safety or efficacy of vaccines but rather the complete inability of many people to put together a coherent rationale argument bless dr mike for his patience,pro-vaccine,neutral,,,
not sure about the intelligence of these people poor dr mike ,,neutral,,,
red haired woman said nothing but foolishness  had the fact checker working overtime ,,,,,
i abssssolutely hate the red flags they wont let him talk and get to his point,,,yes,,
why is there all red flags why cant we have green flags to help bring the people together on a bipartisan agreement to help out this divided world,,,yes,,
1 smart person vs 20 dumb,,,,,
jubilee is diabolical for letting some of these people talk on camera to almost 9 million viewers ,,,,,
wasting all the time talking and when the doctor talks they vote out the person never letting him defend his point or answer questions,,,yes,,
i cant even be amused by how dim these people are anymore  its just disappointing,,,,,
132 looks like her gabschase,,,,,
1016 bro is mapping,,,,,
doctor mike say what,,neutral,,,
of what an insufferable mob of clowns,,,,,
dude some people there are nuts the african american guy is the prime example of that,,,,,
3020 a master diverted of answering simple elementary questions a legend of vacuosity the true london is mr michael doc doc ff,,,,,
2410 not every vaccine can create herd immunity but it can create herd protection the grand fallacy of ambiguity and double speak and many others its so self explanatory does mr doc see his error  doc be tripping the hard trip,skeptic,,,,
this doc be tripping all sheeeeeeiiiii,,,,,
arguing with antivaxxers is like arguing with children about whether the tooth fairy is real i know that the tooth fairy is real since i get a dollar each time i lose a tooth,skeptic,,,,
well done dr mike,,neutral,,,
they dont make one brain cell all together,,,,,
first thank you doctor mike for the education to people that dont get the correct information also so excited for this let me get my popcorn its about to be a show,,neutral,yes,,
the best person that has ever been in the hot seat at surrounded i usually get so stressed out at these videos because the debate gets too heated acting with the understanding and science dr mike does is literally the best method,,neutral,yes,,
